time,DivisionNo.1_1,DivisionNo.2_1,DivisionNo.7_1
2023-04-13 00:00:00,0.028704712882637977,0.07422518497163598,0.13632171590129533
2023-04-13 01:00:00,0.013898643106222151,0.02367656988176433,0.08327633276581764
2023-04-13 02:00:00,0.011299725612004598,0.013301843926310538,0.06267729075749713
2023-04-13 03:00:00,0.01010264361401399,0.013779184642163194,0.045390593772133184
2023-04-13 04:00:00,0.010151006072759629,0.02179943577132442,0.042397480294108385
2023-04-13 05:00:00,0.010715724969903629,0.128075816123323,0.07449641969799994
2023-04-13 06:00:00,0.0017864869733651481,0.04264215668494051,0.07186929981410503
2023-04-13 07:00:00,0.002261461719870567,0.027593825127590788,0.06998711349070072
2023-04-13 08:00:00,0.00674418153365453,0.022174574502489785,0.09055724969009558
2023-04-13 09:00:00,0.00997321326037248,0.003064242777499285,0.09439328091343241
2023-04-13 10:00:00,0.02487448141972224,0.0015315808965401213,0.09325359931588172
2023-04-13 11:00:00,0.02823173392812411,0.0007941399988802997,0.1822576976219813
2023-04-13 12:00:00,0.007262701983253164,0.001171753481030464,0.34499839607874555
2023-04-13 13:00:00,0.005589048907160759,0.0040148047086867415,0.4434234733780225
2023-04-13 14:00:00,0.0010296680678923925,0.0004783455350182273,0.47765781974792476
2023-04-13 15:00:00,0.0012958227743705114,0.004167515974153172,0.41222099335988355
2023-04-13 16:00:00,0.0012865088482697804,0.0022164949503811924,0.3244298462073008
2023-04-13 17:00:00,0.000632169465223948,0.003962451544674959,0.17962163350979482
2023-04-13 18:00:00,7.013982037703196e-05,0.0009163558754053981,0.10960210835933684
2023-04-13 19:00:00,0.0,2.974634143439206e-05,0.04962558856606483
2023-04-13 20:00:00,0.001754725232720375,0.007834893018007279,0.015694484089811642
2023-04-13 21:00:00,0.01925559935470422,0.04732498362660409,0.0032098888953526815
2023-04-13 22:00:00,0.01795062521100044,0.07871388214555654,0.00036320828398068745
2023-04-13 23:00:00,0.03699006752669811,0.06573779341849413,0.0
2023-04-14 00:00:00,0.06027120462059974,0.06380369297482749,0.0
2023-04-14 01:00:00,0.07729042930404346,0.0735817644812844,0.0009503729343414306
2023-04-14 02:00:00,0.09324325377742451,0.07232196107506751,0.0012665752222140627
2023-04-14 03:00:00,0.08521365127960841,0.0626117124476216,0.0028091468910376224
2023-04-14 04:00:00,0.08110508638620376,0.057067073014649465,0.010390323107441266
2023-04-14 05:00:00,0.06701500407854714,0.02400392596017231,0.028072642510135963
2023-04-14 06:00:00,0.03307525520026684,0.0056932135874574845,0.032923803016543386
2023-04-14 07:00:00,0.011487829729914665,0.0004950254207307642,0.03541054170330365
2023-04-14 08:00:00,0.005659322073062261,0.0010560053248297083,0.0340927830239137
2023-04-14 09:00:00,0.010147603526711464,0.008852261365814643,0.05961618131399153
2023-04-14 10:00:00,0.02774619610607624,0.032171865586530075,0.0884009283483028
2023-04-14 11:00:00,0.05888051181534925,0.042773557108911606,0.10552307890355586
2023-04-14 12:00:00,0.06425918663541476,0.025022591609846465,0.12273734728495277
2023-04-14 13:00:00,0.08950741274654865,0.01781968190588734,0.1435985248784224
2023-04-14 14:00:00,0.12805551281571387,0.01882812082090161,0.16110384306311606
2023-04-14 15:00:00,0.1508130854666233,0.02446811796589331,0.1444741050004959
2023-04-14 16:00:00,0.14519283343354858,0.031690136329694224,0.1137723075201114
2023-04-14 17:00:00,0.03244666093587875,0.000424640727314082,0.056365302801132194
2023-04-14 18:00:00,0.026149958744645114,0.0005448602207682348,0.0308333854128917
2023-04-14 19:00:00,0.01947570631901423,0.0009030716324394399,0.02804742694894473
2023-04-14 20:00:00,0.01568982260922591,0.0030640043115073984,0.05713149552047254
2023-04-14 21:00:00,0.011568076923489573,0.005341602563858032,0.0777456108927727
2023-04-14 22:00:00,0.0064609175920486445,0.001576150432229042,0.017612064297000567
2023-04-14 23:00:00,0.00300983719031016,0.0005666641823270104,0.009168368359406789
2023-04-15 00:00:00,0.0011434363722801206,0.00031170962886376815,0.025784890497724214
2023-04-15 01:00:00,0.0005043105830748875,0.0,0.04336782447497049
2023-04-15 02:00:00,0.00035077393054962154,0.0,0.04367011099060377
2023-04-15 03:00:00,0.00043787255386511486,0.0,0.02824571458001932
2023-04-15 04:00:00,0.0006960024287303288,0.0,0.011665221686164538
2023-04-15 05:00:00,0.0014660947173833845,0.005896770615469325,0.001985928763945897
2023-04-15 06:00:00,0.005456054459015528,0.02064446639608253,0.0027327721665302914
2023-04-15 07:00:00,0.017770050515731176,0.061389416198838836,0.0029063902844985324
2023-04-15 08:00:00,0.07048061463236809,0.15686275117776607,0.005560571745038033
2023-04-15 09:00:00,0.21803210862477618,0.22583613491871138,0.03390833386778832
2023-04-15 10:00:00,0.4205410094261169,0.2676559630578214,0.0590073040574789
2023-04-15 11:00:00,0.5406392140388488,0.3240810884670778,0.06446893831590812
2023-04-15 12:00:00,0.5905981846253078,0.35906411341645494,0.09805982688566049
2023-04-15 13:00:00,0.6050074837207793,0.39713592158122496,0.15299257356425128
2023-04-15 14:00:00,0.6107772416869799,0.4241611073504794,0.20300279804070787
